MAW	CZT	LMM	ELT	QSB	ISK	SUA	LVV	HLP	TAR	HAN	OUJ	SOD	SOR	BJN	HRN	ALE
0	-85	-80	-97	-99	-100	-99	-99	-100	-98	98	40	79	-79	-71	-67	14
85	0	2	0	0	-1	-4	-2	-2	-3	-14	-17	-18	-22	-19	13	99
80	-2	0	-2	-4	-6	-9	-8	-8	-10	-16	-31	-25	-29	-21	-13	83
97	0	2	0	0	-1	-5	-3	-4	-6	-14	-30	-20	-24	-19	-13	99
99	0	4	0	0	0	-3	-2	-2	-3	-13	-17	-18	-23	-19	-13	-100
100	1	6	1	0	0	-3	-2	-1	-3	-12	-16	-17	-22	-19	14	-100
99	4	9	5	3	3	0	2	2	1	-9	-12	-14	-18	-16	18	-99
99	2	8	3	2	2	-2	0	1	-1	-11	-14	-15	-19	-18	16	-100
100	2	8	4	2	1	-2	-1	0	-1	-10	-15	-16	-19	-18	15	-100
98	3	10	6	3	3	-1	1	1	0	-8	-12	-14	-17	-19	16	-99
-98	14	16	14	13	12	9	11	10	8	0	-3	-6	-7	-15	28	-98
-40	17	31	30	17	16	12	14	15	12	3	0	0	-4	27	-36	-54
-79	18	25	20	18	17	14	15	16	14	6	0	0	-1	4	-36	-64
79	22	29	24	23	22	18	19	19	17	7	4	1	0	3	7	82
71	19	21	19	19	19	16	18	18	19	15	-27	-4	-3	0	3	74
67	-13	13	13	13	-14	-18	-16	-15	-16	-28	36	36	-7	-3	0	70
-14	-99	-83	-99	100	100	99	100	100	99	98	54	64	-82	-74	-70	0