MAW	CZT	HBK	BNG	AAE	QSB	ISK	SUA	LVV	HLP	TAR	HAN	OUJ	SOD	SOR	BJN	HRN	NRD	ALE
0	127	61	65	58	56	58	60	119	126	130	129	128	131	142	10	10	1	0
-127	0	-50	-45	-50	-50	-48	-31	-11	0	-1	0	-9	-6	1	-117	-118	-136	-20
-61	50	0	0	0	0	0	0	0	19	29	28	23	21	0	-30	-30	-32	-44
-65	45	0	0	0	0	0	0	0	18	28	26	20	17	0	-35	-32	-38	-64
-58	50	0	0	0	0	0	0	0	20	34	30	25	21	0	-31	-30	-33	-52
-56	50	0	0	0	0	0	0	0	20	34	30	26	21	0	-31	-28	-33	-46
-58	48	0	0	0	0	0	0	0	18	32	27	23	21	0	-31	-29	-38	-46
-60	31	0	0	0	0	0	0	1	18	32	29	24	21	0	-36	-30	-40	-60
-119	11	0	0	0	0	0	-1	0	1	14	14	10	9	15	-40	-38	-41	-64
-126	0	-19	-18	-20	-20	-18	-18	-1	0	-1	1	0	0	13	-114	-113	-112	2
-130	1	-29	-28	-34	-34	-32	-32	-14	1	0	-6	-3	0	2	-113	-113	-112	-79
-129	0	-28	-26	-30	-30	-27	-29	-14	-1	6	0	0	0	10	-117	-117	-113	-68
-128	9	-23	-20	-25	-26	-23	-24	-10	0	3	0	0	1	12	-113	-98	-107	-70
-131	6	-21	-17	-21	-21	-21	-21	-9	0	0	0	-1	0	7	6	6	-108	-16
-142	-1	0	0	0	0	0	0	-15	-13	-2	-10	-12	-7	0	-2	-3	-10	-22
-10	117	30	35	31	31	31	36	40	114	113	117	113	-6	2	0	0	-7	-19
-10	118	30	32	30	28	29	30	38	113	113	117	98	-6	3	0	0	-8	-19
-1	136	32	38	33	33	38	40	41	112	112	113	107	108	10	7	8	0	-2
0	20	44	64	52	46	46	60	64	-2	79	68	70	16	22	19	19	2	0