B03	B23	B14	B15	B04	MAW	CZT	PAF	AMS	CSY	LRM	LEM	DRV	MCQ	EYR	SBA
1.00	0.00	0.24	0.05	0.00	0.02	0.10	0.01	0.01	0.07	0.01	0.01	0.01	0.00	0.01	0.01
0.00	1.00	0.74	0.95	0.96	0.75	0.74	0.83	0.81	0.78	0.83	0.83	0.91	0.88	0.95	0.96
0.24	0.74	1.00	0.85	0.74	0.72	0.80	0.74	0.70	0.68	0.58	0.58	0.65	0.72	0.76	0.70
0.05	0.95	0.85	1.00	0.95	0.76	0.78	0.85	0.82	0.73	0.75	0.75	0.88	0.86	0.91	0.93
0.00	0.96	0.74	0.95	1.00	0.77	0.76	0.87	0.81	0.71	0.78	0.78	0.90	0.85	0.91	0.95
0.02	0.75	0.72	0.76	0.77	1.00	0.90	0.84	0.86	0.65	0.66	0.66	0.78	0.79	0.80	0.76
0.10	0.74	0.80	0.78	0.76	0.90	1.00	0.77	0.80	0.73	0.59	0.59	0.74	0.77	0.79	0.73
0.01	0.83	0.74	0.85	0.87	0.84	0.77	1.00	0.78	0.67	0.70	0.71	0.82	0.78	0.86	0.87
0.01	0.81	0.70	0.82	0.81	0.86	0.80	0.78	1.00	0.63	0.64	0.64	0.81	0.77	0.83	0.80
0.07	0.78	0.68	0.73	0.71	0.65	0.73	0.67	0.63	1.00	0.68	0.68	0.73	0.78	0.77	0.71
0.01	0.83	0.58	0.75	0.78	0.66	0.59	0.70	0.64	0.68	1.00	1.00	0.81	0.77	0.82	0.80
0.01	0.83	0.58	0.75	0.78	0.66	0.59	0.71	0.64	0.68	1.00	1.00	0.81	0.77	0.82	0.80
0.01	0.91	0.65	0.88	0.90	0.78	0.74	0.82	0.81	0.73	0.81	0.81	1.00	0.84	0.93	0.96
0.00	0.88	0.72	0.86	0.85	0.79	0.77	0.78	0.77	0.78	0.77	0.77	0.84	1.00	0.87	0.86
0.01	0.95	0.76	0.91	0.91	0.80	0.79	0.86	0.83	0.77	0.82	0.82	0.93	0.87	1.00	0.92
0.01	0.96	0.70	0.93	0.95	0.76	0.73	0.87	0.80	0.71	0.80	0.80	0.96	0.86	0.92	1.00