PBQ	IQA	SVS	STF	AMK	SCO	JAN	BJN	LYR	NOK	KTN	CHD	BRW	KAV	ARC	FSP	CNL	BLC
0	-31	-31	-30	-29	-58	-54	-57	-31	1	8	-10	-31	-164	-115	-116	12	-31
31	0	0	0	0	0	0	10	12	0	-1	3	0	-153	0	0	0	0
31	0	0	0	0	0	0	13	12	0	-3	2	0	-153	0	0	0	0
30	0	0	0	0	0	10	15	16	0	-3	2	0	-152	-1	0	0	0
29	0	0	0	0	0	12	17	18	0	-3	-1	-1	-163	-4	0	-1	0
58	0	0	0	0	0	0	5	6	-1	127	-4	-4	-154	-20	9	-20	0
54	0	0	-10	-12	0	0	7	8	-4	126	-6	-12	-155	-21	13	-22	0
57	-10	-13	-15	-17	-5	-7	0	0	-10	113	-14	-16	-154	-24	0	-25	0
31	-12	-12	-16	-18	-6	-8	0	0	-12	114	-17	-21	-158	-24	-5	-24	0
-1	0	0	0	0	1	4	10	12	0	-3	4	8	-157	-131	-130	0	0
-8	1	3	3	3	-127	-126	-113	-114	3	0	-2	-1	-128	-129	-127	5	4
10	-3	-2	-2	1	4	6	14	17	-4	2	0	2	-130	-126	-126	17	0
31	0	0	0	1	4	12	16	21	-8	1	-2	0	-131	-1	-134	0	0
164	153	153	152	163	154	155	154	158	157	128	130	131	0	-1	0	189	186
115	0	0	1	4	20	21	24	24	131	129	126	1	1	0	0	0	143
116	0	0	0	0	-9	-13	0	5	130	127	126	134	0	0	0	0	0
-12	0	0	0	1	20	22	25	24	0	-5	-17	0	-189	0	0	0	0
31	0	0	0	0	0	0	0	0	0	-4	0	0	-186	-143	0	0	0