HUA	VRE	KOU	MBO	TAM	BNG	MLT	AAE	ABG	PHU	TND	GUA	API	HON	PPT
1.00	0.96	0.74	0.60	0.48	0.51	0.48	0.66	0.53	0.51	0.49	0.54	0.63	0.67	0.63
0.96	1.00	0.87	0.43	0.35	0.38	0.35	0.55	0.40	0.39	0.36	0.33	0.75	0.80	0.73
0.74	0.87	1.00	0.16	0.07	0.11	0.05	0.27	0.11	0.15	0.16	0.13	0.92	0.96	0.94
0.60	0.43	0.16	1.00	0.95	0.95	0.90	0.82	0.92	0.91	0.93	0.94	0.18	0.19	0.09
0.48	0.35	0.07	0.95	1.00	1.00	0.97	0.80	0.97	0.94	0.90	0.89	0.11	0.09	0.00
0.51	0.38	0.11	0.95	1.00	1.00	0.97	0.80	0.98	0.96	0.91	0.90	0.11	0.12	0.01
0.48	0.35	0.05	0.90	0.97	0.97	1.00	0.77	0.98	0.94	0.88	0.86	0.07	0.05	0.00
0.66	0.55	0.27	0.82	0.80	0.80	0.77	1.00	0.82	0.76	0.69	0.71	0.30	0.30	0.17
0.53	0.40	0.11	0.92	0.97	0.98	0.98	0.82	1.00	0.97	0.89	0.88	0.10	0.11	0.03
0.51	0.39	0.15	0.91	0.94	0.96	0.94	0.76	0.97	1.00	0.97	0.94	0.14	0.15	0.07
0.49	0.36	0.16	0.93	0.90	0.91	0.88	0.69	0.89	0.97	1.00	0.99	0.17	0.16	0.09
0.54	0.33	0.13	0.94	0.89	0.90	0.86	0.71	0.88	0.94	0.99	1.00	0.18	0.14	0.07
0.63	0.75	0.92	0.18	0.11	0.11	0.07	0.30	0.10	0.14	0.17	0.18	1.00	0.96	0.93
0.67	0.80	0.96	0.19	0.09	0.12	0.05	0.30	0.11	0.15	0.16	0.14	0.96	1.00	0.97
0.63	0.73	0.94	0.09	0.00	0.01	0.00	0.17	0.03	0.07	0.09	0.07	0.93	0.97	1.00